NAME,TYPE,DECADE,MEDIA URL,DATE,DIMSENSIONS (CM)
David Livingston,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.51_1,1800,7.3 x 6.1
Mourning Miniature for E. W.,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.95.3_1,1800,5.4 x 4.3
"Thomas Williams, of Annapolis",Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1978.67.2_1,1800,8.2 x 6.3
Colonel Benjamin Stephenson,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1976.56_1,1800,7.2 x 5.3
Portrait of a Connecticut Clockmaker's Wife,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1967.136.3_1,1800,26.0 x 20.0
Portrait of a Connecticut Clockmaker,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1967.136.2_1,1800,26.1 x 20.1
Portrait of a Child,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1963.9.5_1,1800,6.2 x 4.9
William Thornton,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1960.6.1_2,1800,7.3 x 6.0
Portrait of a Lady,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1959.7.21_1,1800,5.1 x 4.1
Portrait of a Gentleman,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.42_1,1800,74.9 x 62.2
Portrait of a Boy,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.41_1,1800,68.6 x 63.5
Portrait of a Gentleman,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1946.9.3_1,1800,8.3 x 6.4
Mrs. Thomas Wilson,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1944.7.5_1,1800,7.2 x 5.8
Rubens Peale,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1941.9.1_1,1800,9.5 x 6.7
Eye of a Lady,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.8.315.1_1,1800,1.5 x 1.9
Eye,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.8.314.1_1,1800,3.2 x 2.5
Eye of a Lady,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.8.313.3_1,1800,2.1 x 2.4
David Wiley,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_87_244Wiley-000001,1801,90.2 x 64.8
John Dallas,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.80_1,1801,16.0 x 10.7
Mrs. Joseph Manigault (Charlotte Drayton),Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1970.296_1,1801,7.5 x 6.0
Elizabeth Knapp,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1937.11.1_1,1802,6.7 x 5.1
George Washington,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-XX108A_1,1803,77.4 x 64.2
Mr. Lawrence of Boston,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.6.71_1,1803,7.0 x 5.6
George Washington,Painting,1800-1809,"https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142GW-000001,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142GW_int,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142versoGW_int",1803,6.4 × 5.4
Joseph Fox,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.68_1,1790,6.4 x 5.1
Jonas Phillips,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_97_189-000001,1790,35.6 x 27.3
